md;incl;azi
332.2388;8.0547;313.6636
332.7388;8.0608;313.9265
333.2388;8.0093;313.8806
333.7388;7.9802;313.7321
334.2388;7.9679;313.8365
334.7388;8.0061;313.5962
335.2388;7.9687;313.7667
335.7388;8.0037;313.9556
336.2388;7.9938;313.623
336.7388;7.9914;313.5864
337.2388;7.9931;313.6479
337.7388;7.9791;313.6634
338.2388;7.9915;313.3194
338.7388;7.9976;313.3571
339.2388;7.9989;313.3416
339.7388;7.995;313.23
340.2388;7.9501;313.4542
340.7388;7.9548;313.3929
341.2388;7.9525;313.6466
341.7388;7.9507;313.4149
342.2388;7.9351;313.4438
342.7388;7.9293;313.4511
343.2388;7.9318;313.3254
343.7388;7.9259;313.4603
344.2388;7.9265;313.3895
344.7388;7.9321;313.2604
345.2388;7.9306;313.5274
345.7388;7.9434;313.3946
346.2388;7.9461;313.5103
346.7388;7.9359;313.5777
347.2388;7.9194;313.2623
347.7388;7.9207;313.3362
348.2388;7.9273;313.3356
348.7388;7.9354;313.196
349.2388;7.9072;313.209
349.7388;7.9214;313.0512
350.2388;7.889;313.0188
350.7388;7.93;313.3751
351.2388;7.9281;313.524
351.7388;7.861;313.5858
352.2388;7.8833;313.9692
352.7388;7.8308;313.8366
353.2388;7.8717;314.0603
353.7388;7.8294;313.7097
354.2388;7.8288;313.6316
354.7388;7.8552;313.7392
355.2388;7.8464;313.6875
355.7388;7.8301;313.3671
356.2388;7.8124;313.4971
356.7388;7.8507;313.532
357.2388;7.8307;313.3717
357.7388;7.8214;313.3906
358.2388;7.8089;313.3927
358.7388;7.802;313.3372
359.2388;7.7969;313.2649
359.7388;7.8384;313.4396
360.2388;7.8363;313.1562
360.7388;7.8221;313.2841
361.2388;7.8083;313.265
361.7388;7.8204;313.2402
362.2388;7.7829;313.3003
362.7388;7.7817;313.2982
363.2388;7.7762;313.2354
363.7388;7.7975;313.2658
364.2388;7.7873;313.1368
364.7388;7.7803;313.2581
365.2388;7.7769;313.1303
365.7388;7.7723;312.984
366.2388;7.7733;313.1284
366.7388;7.7656;312.9794
367.2388;7.7674;313.0154
367.7388;7.7642;313.0145
368.2388;7.7611;312.9033
368.7388;7.761;312.8405
369.2388;7.7614;312.9653
369.7388;7.7602;312.9062
370.2388;7.7597;312.9053
370.7388;7.757;312.8313
371.2388;7.7571;312.9016
371.7388;7.755;312.7002
372.2388;7.7582;312.8332
372.7388;7.7102;312.7695
373.2388;7.7139;312.7687
373.7388;7.708;312.8341
374.2388;7.7089;312.9087
374.7388;7.7089;312.6958
375.2388;7.7453;312.7598
375.7388;7.7311;312.6477
376.2388;7.7025;312.6761
376.7388;7.6989;312.7285
377.2388;7.7299;312.6463
377.7388;7.7026;312.7349
378.2388;7.6993;312.7982
378.7388;7.7015;312.8708
379.2388;7.6997;312.7398
379.7388;7.703;312.7498
380.2388;7.7014;312.8705
380.7388;7.6998;312.671
381.2388;7.7003;312.7408
381.7388;7.7;312.8683
382.2388;7.7013;312.6736
382.7388;7.7033;312.8268
383.2388;7.7048;312.8259
383.7388;7.7044;313.0222
384.2388;7.7006;312.8692
384.7388;7.7018;312.8179
385.2388;7.7017;312.8168
385.7388;7.6981;312.9875
386.2388;7.6945;312.8327
386.7388;7.6941;312.7491
387.2388;7.6927;312.866
387.7388;7.6926;312.7732
388.2388;7.6934;312.6627
388.7388;7.6492;312.6608
389.2388;7.6612;312.6082
389.7388;7.6973;312.912
390.2388;7.693;312.8422
390.7388;7.6481;312.7869
391.2388;7.6477;312.7371
391.7388;7.6473;312.8157
392.2388;7.6485;312.7386
392.7388;7.6506;312.6626
393.2388;7.6496;312.6744
393.7388;7.6469;312.7357
394.2388;7.6467;312.7355
394.7388;7.6537;312.7491
395.2388;7.652;312.641
395.7388;7.6526;312.5345
396.2388;7.6548;312.7906
396.7388;7.6536;312.5552
397.2388;7.6563;312.5834
397.7388;7.6122;312.619
398.2388;7.6143;312.5761
398.7388;7.6207;312.618
399.2388;7.6162;312.4171
399.7388;7.6202;312.5894
400.2388;7.6228;312.4469
400.7388;7.6243;312.6293
401.2388;7.6291;312.5541
401.7388;7.6385;312.531
402.2388;7.6785;312.9556
402.7388;7.6108;312.4395
403.2388;7.6053;312.5749
403.7388;7.6571;312.8547
404.2388;7.6302;312.4714
404.7388;7.6307;312.3442
405.2388;7.6304;312.5423
405.7388;7.6313;312.5586
406.2388;7.6287;312.5969
406.7388;7.6347;312.5211
